Search term,Source language,to: cs,to: da,to: de,to: el,to: en,to: es,to: et,to: fi,to: fr,to: hu,to: it,to: lt,to: nl,to: pl,to: pt,to: ro,to: sv
Alcea striata,en,﻿Alcea striata,﻿Alcea striata,﻿Alcea striata,﻿Alcea striata,,﻿Alcea stricata,﻿Alcea trilata,﻿Alcea striata,﻿Alcea striata,﻿Alcea striata,﻿Alcea striata,﻿Alcea dstriata,﻿Alcea striata,﻿Alcea striata,﻿Alcea strita,﻿Argentina silus,﻿Alcea striata
john alston,en,﻿John Alston,﻿John Alston,﻿John Alston,﻿John Alston,,﻿John Alston,﻿John Alston,﻿John Alston,﻿John Alston,﻿John Alston,﻿John Alston,﻿John Alston,﻿John Alston,﻿John Alston,﻿John Alston,﻿John Alston,﻿John Alston
affiches,en,﻿fadffices,﻿AP,﻿Werbehume,﻿aefficuris,,﻿affiches,﻿(ei puuduta eestikeelset versiooni.),﻿nammikko,﻿affiches,﻿1.8.Kivételek,﻿affiche,﻿Efekckalai,﻿werkzaamheid,﻿skuteczność,﻿affiches,﻿eficacitate,﻿affischer
schwinkowski,fr,﻿schwkowski,﻿schwinkowski,﻿Schwinkowski,﻿schwindkowski,﻿schwinkowski,﻿schwinkowski,﻿schinkowski,﻿schwinkowski,,﻿schwinkowski,﻿schwwinkowski,﻿schwinkowski,﻿schwinkowski,﻿schwinkowski,﻿schwinkowski,﻿schwinkowski,﻿schwinkowski
Melchor cano,es,﻿Melchor cano,﻿Melchor cano,﻿Melchor cano,﻿Melchor cano,﻿Melchor cano,,﻿Melchor cano,﻿Melchtai cano,﻿Melchor cano,﻿Melchor,﻿Melchor cano,﻿Melchor cano,﻿Melchor cano,﻿Melchor cano,﻿Mechor cano,﻿Melchor cano,﻿Melchor cano
abstract,en,﻿abstraktní,﻿sammendrag,﻿Kurzbeschreibung,﻿σύνοψη,,﻿abstracto,﻿lühikokkuvõte,﻿abstrakti,﻿résumé,﻿kivonat,﻿astratto,﻿santrauka,﻿abstract,﻿streszczenie,﻿abstrato,﻿rezumat,﻿sammandrag
Alces,fi,﻿Alces,﻿Alces,﻿Alces,﻿Alces,﻿Alces,﻿Alces,﻿Alces,,﻿Table des matières,﻿Alces,﻿Alces,﻿Alces,﻿Alces,﻿Alces,﻿Alces,﻿Alces,﻿Alces
Deutschlands gerechte Grenzen von Adriaticus,pl,﻿Deutschlands Gerechte Grenzen von Adriaticus,﻿Deutschlands gerechte Grenzen von Adriaticus,﻿Nutzungsrechte an Adriaticus (Deutschland),﻿Deutschlands gerechte Grenzen von Adriaticus,﻿Deutschlands gerechte Grenzen von Adriaticus,﻿Deutschlands gerechte Grenzen von Adriaticus,﻿Deutschlands gerechte Grenzen von Adrius,﻿Deutsches gerechte Grenzen von Adriatica,﻿Deutschlands gerechte Grenzen von Adriaticus,﻿Deutschlands gerechte Grenzen von Adriaticus,﻿Deutschlands grechte Grenzen von Adriatico,﻿Deutschlands gerechte Grenzen von Adriaticus,﻿Deutschlands Region Grenzen von Adriaticus,,﻿Deutschlands gerechte Grenzen von Adriaticus,﻿Deutschlands gerechte Grenzen von Adriaticus,﻿Deutschlands gerechte Grenzen von Adriaticus
Abd,fr,﻿Abd al,﻿Abd,﻿Abd,﻿Abd,﻿Abd,﻿Abd,﻿Abd,﻿Abd,,﻿Abd,﻿Abd,﻿Abd,﻿Abd,﻿Abd on,﻿Abd,﻿Abd,﻿Abd
Alberto Guglielmotti,it,﻿Alberto Guglielmotti,﻿Alberto Guglielmotti,﻿Herr Alberto Guglielmotti,﻿Alberto Guglielmotti,﻿Alberto Guglielmotti,﻿Alberto Guglielmotti,﻿Alberto Guglielimetti,﻿Alberto Guglielmotti,﻿Alberto Guglielmoti,﻿Mr Alberto Guglielmotti,,﻿Alberto Gulielmotti,﻿Alberto Guglielmotti,﻿Alberto Guglielmotti,﻿Alberto Guglielmotti,﻿Alberto Guglielmotti,﻿Alberto Guglielmotti
agustin cue,es,﻿Záložka Agustin,﻿Custhole,﻿Agustin Dicue,﻿Agustin pue,﻿Agustin cue,,﻿Agustin aruheina,﻿Agustin cuta,﻿Prompteur Agstin,﻿Agustin cure,"﻿Motorino di ""Austin""",﻿Glustin eraice,﻿Agststoute,﻿Kostrzela Agustina,﻿Gulica-de-vacita,﻿Un model de funcție pentru Austin,﻿Cuspcun
adrien demont,fr,﻿Adrien haffa,﻿Adrien halfa,﻿Adnick dema,﻿Adrien halfa,﻿Adrien halfa,﻿Adrien halfa,﻿Adrien halfa,﻿Adrian halfa,,﻿Adrien halfa,﻿Adrien halfa,﻿Adrien halfa,﻿Adrien halfa,﻿Adrien halfa,﻿Adrien halfa,﻿Adrien halfa,﻿Adrien halifa
Liberty,de,﻿Svoboda,﻿Frihed,,﻿Ελευθερία,﻿Liberty,﻿Libertad,﻿Vabadus,﻿Vapaa,﻿Liberty,﻿Szabadság,﻿Libertà,﻿Laisvė,﻿Vrijheid,﻿Liberty,﻿Liberdade,﻿Libertate,﻿Frihet
Estrela Degas,pt,﻿STAR Desgas,﻿Star Desgas,﻿Star Desgas,﻿STAR Desgas,﻿Star Desgas,﻿Star Desgas,﻿Star Desgas,﻿Star Desgas,﻿Star Desgas,﻿Csillagáz,﻿Star DesGas,﻿Star Desgas,﻿Star Desgas,﻿Gwiazda Desgas,,﻿Numărul de ordine al STAR,﻿Star Desgas
Dictionnaire de chimie,es,﻿Dictionnaire de Chimie,﻿Dictionnaire de Chimie,﻿Chimie (Dictionnaire de Chimie),﻿Dictionnaire de Chimie,﻿Dictionnaire de Chimie,,﻿Dictionnaire de Chimie,﻿Diconnaire de Chimie,﻿Dictionnaire de chimie,﻿Dictionnaire de Chimie,﻿Funzionario di Chimie,﻿Dictionnaire de Chimie,﻿Dictionnaire de Chimie,﻿Dictionnaire de Chmie,﻿Dictionnaire de Chimie,﻿Dictionaire de Chimie,﻿Dictionnaire de Chimie
The handy royal atlas of modern geography,pl,﻿Obyčejný atlas modelového geografie,﻿Handy-kongeatlasset med modereret geografi,﻿Der Geographieatlas für moderierte Geographie,﻿Ο κ. Handy royal Άτλαντα συντονιζόμενης Γεωγραφίας,﻿The Handy royal atlas of moderated Geography,﻿El atlas real de manuales de Geografía moderada,﻿Handy kuninglik kaatlas motoriseeritud geograafia atlas,﻿Handy royal Atlas of stered Geography,﻿L’atlas de la géographie modérée de handball,﻿A moderált földrajzról szóló Handy királyi atlasz,﻿Atlante Manifestazione reale della geografia moderata,﻿Šlėstamos geoografijos karališkasis karališkasis atlasas,﻿De Handy Koninklijke atlas van gemodereerde geografie,,﻿O atlas real de «geografia moderada»,﻿Atlas regal moderat de Geografie,﻿Aduate kungen över moderate Geografi
Libro de la Monteria,es,﻿Kniha o Monateria,﻿Monteria,﻿Monteria Book,﻿Monteria Book,﻿Monteria Book,,﻿Monteria Book,﻿Monteria Book,﻿Monteria Book,﻿Monteria könyv,﻿Monteria Book,﻿„Monteria“ knyga,﻿Monteria Book,﻿„Monteria Book”,﻿Livro de Monteria Book,﻿Monteria Book,﻿Monteria Book
albiolo,it,﻿Albiol,﻿Albiol,﻿Albiol,﻿η Albiol,﻿albiol,﻿Albiol,﻿Albiol,﻿Albiol,﻿Albiol,﻿Albiol,,﻿Albiol,﻿Albiol,﻿Albiol,﻿Albiol,﻿Albiol,﻿Albiol
adam and the ants,en,﻿Adam a látky,﻿Adam og midlerne,﻿Adam und die Ameisen,﻿Adam και τα μέλη,,﻿Adam y las hormigas,﻿Adam and the ants,﻿Adam ja aineet,﻿Adam et les fourmis,﻿Adam és ants,﻿Adam e former,﻿Adam ir kiti asmenys,﻿Adam en de ants,﻿Adam i antety,﻿Adam e os formigas,﻿Adam și ants,﻿Adam och medlemmarna
A cual tipo de carbon se le considera combustible fosil,es,﻿Do kterého typu uhlíku se nakládá jako s pěnovým palivem.,﻿Til hvilken type kulstof betragtes som skumbrændsel,﻿Zu welcher Art von Kohlenstoff wird als Schaumstoffbrennstoff angesehen,﻿Στον οποίο το είδος άνθρακα θεωρείται καύσιμο από αφρώδες υλικό,﻿To which type of carbon is considered as a foam fuel,,﻿Millist tüüpi süsinikku kasutatakse vahu kütusena,﻿Minkä tyyppistä hiiltä pidetään vaahdon polttoaineena,﻿Vers quel type de carbone est considéré comme un carburant en mousse,﻿A szén mely típusa minősül habtüzelőanyagnak,﻿A quale tipo di carbonio è considerato combustibile a schiuma,"﻿Į kurį laikoma, kad anglies rūšis yra putų kuras.",﻿Voor welk soort koolstof wordt beschouwd als een schuimbrandstof,﻿Do jakiego typu węgla uznaje się jako paliwo piankowe.,﻿A que tipo de carbono é considerado combustível de espuma,﻿Tipul de carbon este considerat drept combustibil cu spumă.,﻿Till vilken typ av kol betraktas som skumbränsle.
language,en,﻿jazyk,﻿sprog,﻿Sprache,﻿γλώσσα,,﻿lengua,﻿keel,﻿kieli,﻿langue,﻿nyelv,﻿lingua,﻿kalba,﻿taal,﻿język,﻿língua,﻿limbă,﻿språk
achille,it,﻿Achill,﻿Achille,﻿Achille,﻿Achille,﻿Achille,﻿Achile,﻿Achille,﻿Achile,﻿Achille,﻿Achille,,﻿Achille,﻿Achille,﻿Achille,﻿Achille,﻿Achille,﻿Achille
Alarcon Herrero,es,﻿Poplachový poplach,﻿Alarm ved smed,﻿Alarm mit Schmied,﻿Συναγερμός με σιδηρουργία,﻿Alarm with blacksmith,,﻿Häiresignaal „Sepp”,"﻿Hälytin, jossa on seppä",﻿Alarme avec ferronnier,﻿Hangos riadvány kovácsokkal,﻿Allarme di fabbro di fabbro,﻿Pavojaus signalas su kalvis,﻿Alarm met Smid,﻿Alarm z Kowal,﻿Alarme com ferreiro,﻿Alarmă cu „fierar”,﻿Larm med smed.
adevarul,en,﻿Adevarl,﻿Adevariul,﻿Adevarul,﻿Adevarul,,﻿Adevarul,﻿Adevarul,﻿Adevarul,﻿Adevarul,﻿Adevarul,﻿Adevarul,﻿Adevarul,﻿Adevarul,﻿Adevarul,﻿Adevarul,﻿Adevul,﻿Adepunul
whole food,en,﻿celá potravina,﻿hele fødevarer,﻿Lebensmittel als Ganzes,﻿ολόκληρα τρόφιμα,,﻿todo el alimento,﻿kogu toit,﻿koko elintarvike,﻿denrées alimentaires entières,﻿teljes élelmiszer,﻿alimenti interi,﻿visas maistas,﻿hele levensmiddelen,﻿cała żywność,﻿produtos alimentares inteiros,﻿alimente întregi,﻿hela livsmedel
Tonkunstler Mahler,en,﻿Tonkunstler Mahler,﻿Tonkunstuler Mahler,﻿Tonkunstler Mahler,﻿Tonkundler Mahler,,﻿Tonkunstler Mahler,﻿Tonkundler Mahler,﻿Tonkunstler Mahler,﻿Tonkunstler Mahler,﻿Tondnastler Mahler,﻿Tonkunstler Mahler,﻿Tonkunstler Mahler,﻿Tonkunstler Mahler,﻿Tonkunstler Mahler,﻿Tonkunstler Mahler,﻿Tonkunstler Mahler,﻿Tonkunstler Mahler
Albert Einstein and God,hu,﻿Albert Einstein a Boha,﻿Albert Einstein og Gud,﻿Albert Einstein und Gott,﻿Albert Einstein και Θεός,﻿Albert Einstein and God,﻿Albert Einstein y Dios,﻿Albert Einstein ja God,﻿Albert Einstein ja Jumala,﻿Albert Einstein et Dieu,,﻿Albert Einstein e Dio,﻿Albertas Einšteinas ir Dievas,﻿Albert Einstein en God,﻿Albert Einstein i Bóg,﻿Albert Einstein e Deus,﻿Albert Einstein și Dumnezeu,﻿Albert Einstein och Gud
cipriano mera,es,﻿„Cipriano“,﻿Det blotte Cipriano,﻿Cihpriano schiere,﻿Cipriano:,﻿Cipriano sheer,,﻿Cipriano otere,﻿Cipriano-pelti,﻿Cipriano tonture,﻿Cipriano,﻿Ciprian,﻿Cipriano spp.,﻿Cipriano (alleen in het Engels),﻿Cipriano wzi,﻿Solo de Cipriano,﻿Cipriano self,﻿Cipriano rent
joseph roth,fr,﻿Joseph Lroth,﻿Joseph Lroth,﻿Joseph roth,﻿Joseph Lroth,﻿Joseph Lroth,﻿Joseph Lacroth,﻿Joseph Lroth,﻿Joseph Lroth,,﻿Joseph Lroth,﻿Joseph Lroth,﻿Joseph Lroth,﻿Joseph Lroth,﻿Joseph Lroth,﻿Joseph Lroth,﻿Joseph Lroth,﻿Joseph Lroth
biblioteca de la juventud,es,﻿knihovna mládeže,﻿et bibliotek med unge,﻿Bibliothek der Jugend,﻿βιβλιοθήκη Νέων,﻿library of Youth,,﻿noorsookogu,﻿nuorisoalan kirjasto,﻿bibliothèque de la jeunesse,﻿az Ifjúság program könyvtára,﻿biblioteca dei giovani,﻿jaunimo biblioteka,﻿bibliotheek van jongeren,﻿biblioteka młodzieżowa,﻿biblioteca da Juventude,﻿biblioteca tineretului,﻿ungdomsbibliotek
Nascita di Venere,en,﻿Nascita di Venere,﻿Nascita di Venere,﻿Nasina di Venere,﻿Nascita di Venere,,﻿Nasciga di Venere,﻿Nascia di Venere,﻿Nassita di Venere,﻿Nascita di Venere,﻿Nascita di Venere,﻿Nascita di Venere,﻿Natanta di Venere,﻿Nascita di Venere,﻿Nascita di Venere,﻿Nascita di Venere,﻿Nascita di Venere,﻿Nascitola di Venere
jean denis janvier,pt,﻿Jean Denis janvier,﻿Jean Denis janvier,﻿Jean Denis JANvier,﻿Jean Denis janvier,﻿Jean Denis janvier,﻿Jean Denis janvier,﻿Jean Denis janvier,﻿Jean Denis janvier,﻿Jean Denis janvier,﻿Jean Denis janvier,﻿Jean Denis janvier,﻿Jean Denis janvier,﻿Jean Denis janvier,﻿Jean Denis janvier,,﻿Jean Denis janvier,﻿Jean Denis januari
agostino masucci,it,﻿Agostino Masucci,﻿Agostino Masucci,﻿Agostino Masucci,﻿Αφοστίμη Maocchi,﻿Agostino Masucci,﻿Agostino Masucci,﻿Aglostino MagResci,﻿Agostiet Maccuragi,﻿Agostino Maconcluant,﻿Agostino Maucci,,﻿Agostino Masucci,﻿Agostino Maucci,﻿Agostino Matursui,﻿Agostino Masucci,﻿Agostino Masucci,﻿Agostino Masucci
al kalifa,de,﻿al Kalifa,﻿al Kalifa,,﻿al Kalifa,﻿al Kalifa,﻿social Kalifa,﻿Al Kalifa,﻿al Kalifa,﻿Al Kalifa,﻿al Kalifa,﻿al Kalie,﻿Al Kaliffa,﻿al Kalifa,﻿al-Kalifa,﻿Al Kalifa,﻿din Kalifa,﻿al Kalifa
Heinz Elmann,en,﻿Heinz Elmann,﻿Heinz Elmann,﻿Herrn Heinz Elmann,﻿Heinz Elmann,,﻿Heinz Elmann,﻿Heinz Elmann,﻿Heinz Elmann,﻿Heinz Elmann,﻿Heinz Elmann,﻿Heinz Elmann,﻿Heinz Elmann,﻿Heinz Elmann,﻿Heinz Elmann,﻿Heinz Elmann,﻿Heinz Elmann,﻿Heinz Elmann
ad hypium,en,﻿ad hyium,﻿annoncehypium,﻿Adhyium,﻿πρόπιο (πρόπιο),,﻿sobre el Hypio,﻿ad oopium,﻿Ad hypium,﻿europium,﻿ad hypium,﻿anoressio,﻿ad hypio,﻿ad Hypium,﻿ad hypium,﻿ad hypio,﻿hypiu,﻿syumpium
die kirchenbauten der Jesuiten,de,﻿kostel Jehavice,﻿Jensjakkens kirke,,﻿η Εκκλησία της Ισουνίτας,﻿the Church of the Jesuit,﻿Iglesia del Jesuita,﻿Jeiuse kirik,﻿Jesuin kirkko,﻿les Églises des jécuites,﻿a Jezsuita Egyház,﻿la Chiesa della gesuita,﻿Jeano bažnyčios bažnyčia,﻿de Jeugskerk,﻿Kościół Jezusy,﻿a Igreja do Jesuíta,﻿Biserica Natantei,﻿juvenetiken
aderlass,de,﻿výtah,﻿elevator,,﻿ανελκυστήρας,﻿lift,﻿ascensor,﻿tõsta,﻿hissi,﻿Agderlass,﻿felvonó,﻿ascensore,﻿liftas,﻿lift,﻿podnośnik,﻿ascensor,﻿ascensor,﻿hiss
abruzzo,it,﻿Abruzzo,﻿Abruzzo,﻿Abruzzen,﻿Abruzzo,﻿Abruzzo,﻿Abruzos,﻿Abruzzo,﻿Abruzzo,﻿Abruzzes,﻿Abruzzo,,﻿Abrucis,﻿Abruzzen,﻿Abruzja,﻿Abruzo,﻿Abruzzo,﻿Abruzzerna
adana,en,﻿Adana,﻿Adana,﻿Adana,﻿Άδανα,,﻿Adana,﻿Adana,﻿Adana,﻿Adana,﻿Adana,﻿Adana,﻿Adana,﻿Adana,﻿Adana,﻿Adana,﻿Adana,﻿Adana
a christmas carol,en,﻿cample pakarl,﻿a chrittmas carol,﻿ein Weihnachtskarl,﻿ischrichtmas carol,,﻿una carol mas fuerte,﻿a kuusekkarool,﻿a christmas carol,﻿a motif de Noël carol,﻿egy keresztakarol,﻿un carolo di Natale,﻿chrikšmas karolis,﻿een kerstmis carl,﻿Kartmas karol,﻿uma carol de Natal,﻿un carol chrimas,﻿a chritsmas
ait chichar,en,﻿AIT čihar,﻿Ait chiclehar,﻿AIT Chichhar,﻿AIT chchiahar,,﻿AIT Chickhar,﻿AIT chichar,﻿AIT chihar,﻿chicephar AIT,﻿AIT chichar,﻿Nephar,﻿AIT chichar,﻿AIT chichar,﻿AIT chichar,﻿AIT chicar,﻿AIT chichar,﻿AIT chihart
Alchemy,it,﻿Alchemie,﻿Alchey,﻿Alchemie,﻿Alchemy,﻿Alchemy,﻿Alchemy,﻿Alchegy,﻿Alchey,﻿Alchemy,﻿Alchém,,﻿Alchemy,﻿Alchemy,﻿Alchechy,﻿Alchemy,﻿Alchemy,﻿Alechy
A Guide to Patterns and Usage in English,en,﻿Návod ke zpracování a použití v angličtině,﻿En guide til mønstre og brug på engelsk,﻿Ein Leitfaden für Muster und Nutzung in englischer Sprache,﻿A Guide to Patterns and Usage (Οδηγός για τους τύπους και το φασκόμηλο) στα,,﻿Guía de Patterns y Uso en inglés,﻿Guide to Paterns and definition in inglise keeles (Juhend Patterns ja,﻿A Guide to Paterns and Usage in English,﻿Guide sur les modèles et l’utilisation en anglais,﻿Útmutató a „patternák” és a „Használatok” című kiadványhoz angol nyelven,﻿Una guida per modelli e uso in inglese,﻿Terminų ir naudojimo vadovas anglų kalba.,﻿Een gids voor Patterns en gebruik in het Engels,﻿Przewodnik po językach angielskim,﻿Guia de Patterns e Utilização em inglês,﻿Ghid de utilizare și utilizare în limba engleză,﻿En vägledning för mönster och användning på engelska
hotel lux moscow,en,﻿hotel lux moscu,﻿hotel lux moscow,﻿Hotelküsten,﻿Hotel lx mocow,,﻿hotel lux moscow,﻿Hotel lux moscow,﻿hotelli lux mosw,﻿hôtel lux moscow,﻿Hotel lux mocow,﻿escursione in hotel,﻿Hotel lux moskow,﻿hotel lux mocow,﻿hotel luks kostny,﻿hotel lux moscow,﻿hotel lux lux,﻿Hotel lux moscw
piri reis,sv,﻿PIRI Reis,﻿PIRI Reis,﻿Frau PIRI Reis,﻿Η κ. PIRI Reis,﻿Ms PIRI Reis,﻿Sra. PIRI Reis,﻿PIRI Reis,﻿PIRI Reis,﻿Mme PIRI Reis,﻿PIRI Reis,﻿Sig.ra PIRI Reis,﻿K. PIRI Reis,﻿Mevrouw PIRI Reis,﻿PIRI Reis,﻿PIRI Reis,﻿Dna PIRI Reis,
puig i cadafalch,es,﻿Puig i cadaralch,﻿Puig i cadafallch,﻿Puig i cadAlach,﻿Puig i cadafallch,﻿Puig i cadafallch,,﻿Puig i cadaffall,﻿Puig i cafallš,﻿Puig i cadafallch,﻿Puig i cadafallch,﻿Puig i cafrallh,﻿Puig i Kabackech,﻿Puig i cadafallch,﻿Puig i cadaFalch,﻿Puig i cadafallch,﻿Puig i cadafalch,﻿Puig i cadafallch
Charles Plisnier,fr,﻿Charles Plisnier,﻿Charles Pallinier,﻿Charles Palinier,﻿Charles Plisnier,﻿Charles Plisnier,﻿Charles Pelisnier,﻿Charles Plisnier,﻿Charles Plisnier,,﻿Charles Plisnier,﻿Charles Plisnier,﻿Charles Paulinier,﻿Charles PAILNIER,﻿Charles PICnier,﻿Charles Plinier,﻿Charles Phlinier,﻿Charles Plisnier
bill of rights,fr,﻿soupis práv,﻿Bill of rights,﻿Bill of rights,﻿σχετικά με τα δικαιώματα,﻿bill of rights,﻿conocimiento de los derechos,﻿õiguste loetelu,﻿lakiehdotus,,﻿jogszámla,﻿computo dei diritti,﻿teisių sąskaita,﻿wet op de rechten,﻿projekt ustawy,﻿mapa de direitos,﻿decontul drepturilor,﻿räkning av rättigheter
aconitum paniculatum,it,﻿Aconitum paniculatum,﻿Aconitum panculatum,﻿Akonitum paniculatum,﻿Aconitum panicicatum,﻿aconitum paniculatum,﻿Aconitum paniculatum,﻿harilik paniculatum,﻿Aconitu paniculatum,﻿Aconitum paniculatum,﻿Aconitum paniculatum,,﻿Aitonum panculatum,﻿Aconituum paniculatum,﻿Aconitum panniculatum,﻿Aconitum panicatum,﻿Aconitum paniculatum,﻿Akonium paniculatum
agram,it,﻿AGRAM,﻿AGRAM,﻿AGRAM,﻿AGRAM,﻿AGRAM,﻿AGRAM,﻿AGRAM,﻿AGRAM,﻿AGRAM,﻿AGRAM,,﻿AGRAM,﻿AGRM,﻿AGRAM,﻿AGRAM,﻿AGRAM,﻿AGRAM
Aachen,de,﻿Aachen (Cáchy),﻿Aachen,,﻿Aachen,﻿Aachen,﻿Aquisgrán,﻿Aacheni piirkond,﻿Aachen,﻿Aix-la-Chapelle,﻿Aachen,﻿Aquisgrana,﻿Achenas,﻿Aken,﻿Aachen,﻿Aachen,﻿Aachen,﻿Aachen
aansprekersoproer,nl,﻿rozmetadlo,﻿løfteåg,﻿Streuer,﻿μηχανήματα διασκορπισμού,﻿spreader,﻿bastidor de anclaje,﻿laiend,﻿levitin,﻿rampe,﻿Késítőgép,﻿spanditori,﻿griebtuvas,,﻿zawiesie,﻿distribuidor de carga,﻿distribuitor,﻿spridare
Principes de la science de la Bourse,en,﻿Principles de la science de la Bourse,﻿Princippers de la science de la bourse,﻿The principes de la science de la Bourse,﻿Principes de la science de la bourse,,﻿Principios de la Bolsa,﻿Principas de la Bourse,﻿The principes de la science de la Bourse,﻿Principes de la science de la bourse,﻿Princies de la Science de la Bourse,﻿Principi della scienza della cassa,﻿Rinkos principas de la science de la Bourse,﻿Beginselen van de la science de la Bourse,﻿Zasady nauki,﻿Princípios da «ciência da bolsa»,﻿Principii de la Bourse,﻿Princiles de la science de la Bourse
El libro de los juegos florales cervantistas y otras fiestas,es,﻿Kniha s květinami a dalšími slavnými hrami,﻿Bogen om blomsterspil og andre højtidsspil,﻿Das Buch mit den Blumenspielen und anderen Festen,﻿Το βιβλίο ανθοφόρων και άλλων εορταστικών παιχνιδιών,﻿The book of flower games and other festive games,,﻿Lillede ja muude pidulike mängude raamat,﻿Kukkapelien ja muiden juhlapelien määrä,﻿Le livre de jeux de fleurs et d’autres jeux pour fêtes,﻿A virágjátékok és más ünnepi játékok könyve,﻿Il libro dei giochi da fiori e di altri giochi per feste,﻿Gėlių žaidimų ir kitų šventinių žaidimų knyga,﻿Het boek van bloemspelen en andere feestartikelen,﻿Książki kwiatu i innych gier świątecznych,﻿O livro de jogos de flores e outros jogos festivos,﻿Carte pentru jocuri festive și alte jocuri festive,﻿Bok över blomspel och andra festspel
agny,fr,﻿agny,﻿AGny,﻿Glanzfaden,﻿agny,﻿agny,﻿agny,﻿Agnny,﻿Agny,,﻿Agny,﻿Amazona,﻿„agny“,﻿agny,﻿gny,﻿agny,﻿carny,﻿agny
Agostinho da Cruz,pt,﻿Agostinho da Cruz,﻿Agostinho da Cruz,﻿Agostinho da Cruz,﻿Agostinho da Cruz,﻿Agostinho da Cruz,﻿Agostinho da Cruz,﻿Agostinho da Cruz,﻿Agostinho da Cruz,﻿Agostinho da Cruz,﻿Agostinho da Cruz,﻿Agostinho da Cruz,﻿Agostinho da Cruz,﻿Agostinho da Cruz,﻿Agostinho da Cruz,,﻿Agostinho da Cruz,﻿Agostinho da Cruz
ignacia martinez,en,﻿Zaigancia Martinez,﻿igncia Martinez,﻿Züncnicia Martinez,﻿ignacia Martinez,,﻿Ignacia martinez,﻿Ligcia Martinez,﻿ignancia Martinez,﻿allumacia Martinez,﻿Activacia Martinez,﻿Ignacia martinez,﻿ignacia Martinez,﻿ignacia Martinez,﻿igcia Martinez,﻿Ignacia maritinez,﻿igacia Martinez,﻿Crigacia Martinez
adelqui,es,﻿hubená,﻿slankning,﻿Verschlankung,﻿μείωση του χρέους,﻿slimming,,﻿kõhnumine,﻿laihdus,﻿amaigrissement,﻿fogyás,﻿dimagrante,﻿lieknėjimas,﻿afslankvorming,﻿odchudzające,﻿emagrecer,﻿slăbit,﻿bantning
saint mayeul,en,﻿Saint Mayeul,﻿Saint mayeul,﻿Saint maeul,﻿St. mayeul,,﻿Saint Mayuul,﻿Saint-mayuul,﻿Saint Nayeul,﻿Saint maierul,﻿Saint maujol,﻿Saint mayul,﻿Saint mayeul,﻿Saint-mayeul,﻿Saint mayuul,﻿Saint mayeul,﻿de la Saint maeuel,﻿Saint mayeul
The politics of plenty,pl,﻿Politika jednotlivých složek,﻿De politiske komponenters politik,﻿Die Politik der einzelnen Komponenten,﻿Η πολιτική των συνιστωσών,﻿The politics of components,﻿Política de componentes,﻿Komponentide poliitika,﻿Komponenttien politiikka,﻿La politique des composants,﻿Az összetevők politikája,﻿La politica dei componenti,﻿Komponentų politika,﻿Het beleid van componenten,,﻿A política dos componentes,﻿Politica componentelor,﻿Utformningen av politiken
aerial warfare,en,﻿letecká válka,﻿luftkrigsførelse,﻿Luftführung,﻿εναέριες πολεμικές επιχειρήσεις,,﻿guerra aérea,﻿õhurõda,﻿ilmasodankäynti,﻿guerre aérienne,﻿légi hadviselés,﻿guerra aerea,﻿karo išpuoliai iš oro,﻿luchtoorlogsvoering,﻿wojna lotnicza,﻿guerra aérea,﻿război aerian,﻿flygkrigföring
salvatierra de santiago,es,﻿Salentatira de santigo,﻿Salvatierra de santiago,﻿Salvativra de santiago,﻿Salvatierra de santiago,﻿Salvatierra de santiago,,﻿Salvatierra de santigo,﻿Salvatierra de santiago,﻿Salvatierra de sagago,﻿Salvatierra de santiago,﻿Salvatererra de santiago,﻿Salvatierra de soantiago,﻿Salvadorra de santiago,﻿Salvatira de sanprego,﻿Salvatira de santiago,﻿Salvatira de santiago,﻿El Salvatierra de santigo
Fifth report from theselect Committee on estimates,pl,﻿Fitoth report od countering Committee on estimates,"﻿Den ""Fitth report from tælleudvalget for estimates""",﻿Feigh-Bericht des Ausschusses für die Bewertung von Schätzern,﻿Έκθεση Fitth από την επιτροπή μέτρησης σχετικά με τα συμπήγματα (mattes),﻿Fitth report from counting Committee on estimattes,﻿Informe relativo al informe del Comité de recuento de cálculos,"﻿Fitch’i aruanne hindamise kohta,",﻿Arviointikomitea on antanut Fitori-raportin estimaattoreista.,﻿Rapport du comité de comptage sur les estimateurs,﻿A számlálási bizottság Festith jelentése az estigross-zel kapcsolatban,﻿Fitth report tratta dalla commissione per il conteggio delle stime,﻿Vertinimo komiteto ataskaita „Fitoth report on evalutes“,﻿Fitteverslag van de telcommissie voor de schatter,,﻿Fitth report from contabilizing Committee on estimos,﻿Raportul FFitth din cadrul Comitetului de numărare a datelor estimatele,﻿Undersökningsutskottets rapport om estimates
Africae illustratae libri decem,nl,﻿Knihovny africae illisatrien,﻿Africcae illiniatene biblioteker decem,﻿Afrikaschartige Bücherbibliotheken descem,﻿Africae illistrataβιβλιοθηκών descem,﻿Africae illistratene libraries descem,﻿Bibliotecas africanas,﻿Africae laillitseeni raamatukogud destsem,﻿Africarae illistleenen kirjastot desceim,﻿Bibliothèques de bibliothèques d’africae illistratène,﻿Africae illistratene könyvtárak dezocem,﻿Biblioteche malistratene descem,﻿Africae illistrateninių bibliotekų descemas,,﻿Pozyskane ze środowiska naturalnego,﻿As bibliotecas africana e ilistrileno desbrascem,﻿Biblioteci africane illiscaten descetm,﻿Africaes illstraatenlablies descocei
